Unnamed: 0,Image,Words,detected_words,jaccard_similarity
75,data\SVT\16_13.jpg,tara restaurant 129,"['tapa', 'restaurant']",0.25
76,data\SVT\05_16.jpg,target,['arget'],0.0
77,data\SVT\00_10.jpg,angelo's car hop service hamburgers laundromat welcome to beer video,[],0.0
78,data\SVT\19_09.jpg,books for america 1417 book sale a non-profit bookstore new & used help support our library building literacy efforts donate movies cds here booksforamerica.org,[],0.0
79,data\SVT\13_05.jpg,el portal,"['el', 'portal']",1.0
80,data\SVT\14_15.jpg,genies,"['rær', 'genies']",0.5
81,data\SVT\13_16.jpg,modified arts,"['arts', 'modif', 'red']",0.25
82,data\SVT\18_06.jpg,paramount avenue parental advisory 60% adult situations 40% from rubber june 10-22 avenueq.com across america broadway,"['10-22', 'june', 'pearamountö']",0.11764705882352941
83,data\SVT\13_11.jpg,magic auto,"['aut0', 'magic']",0.3333333333333333
84,data\SVT\05_11.jpg,martin's corner bar & grill certified grocers,"['grill', ""martin's"", 'comer', '&']",0.375
85,data\SVT\14_07.jpg,everest college,"['college', 'everest']",1.0
86,data\SVT\07_10.jpg,mcdonald's every day free mall ride,"['evev.w•.my', ""cdonaid's""]",0.0
87,data\SVT\11_10.jpg,church of scientology hubbard dianetics foundation,"['scläiålogy', 'tics', 'diane']",0.0
88,data\SVT\14_11.jpg,u.s. outdoor store water,"['u.s.', ""outdoor'"", 'store', 'outdoor', 'us.']",0.5
89,data\SVT\18_07.jpg,the moore hotel alterations city custom tailors,"['cusroi', 'moore', 'the', 'hotel', 'diff', '=', 'tailo']",0.2727272727272727
90,data\SVT\05_13.jpg,at&t gamestop,['ßtuea'],0.0
91,data\SVT\15_01.jpg,embassy suites parking,"['embassy', 'parking', 'suites']",1.0
92,data\SVT\16_01.jpg,hotel whitcomb 1231,[],0.0
93,data\SVT\19_01.jpg,tiny jewel box no standing or parking metro bus zone,[],0.0
94,data\SVT\19_03.jpg,cvs pharmacy 24 hours,"['cvslphar_maqy', 'cvs/', 'hours']",0.16666666666666666
95,data\SVT\16_18.jpg,saint francis memorial hospital chw 900 valet parking,"['francis', 'hosptal', 'saint', 'memorial']",0.3333333333333333
96,data\SVT\16_10.jpg,gordon biersch brewery restaurant,[],0.0
97,data\SVT\09_17.jpg,crowne plaza hotels resorts the grand hall and conference center,"['crowne', 'i', 'grand', 'hotels', 'halland', 'conference', 'center', ""plaza'"", 'resorts']",0.46153846153846156
98,data\SVT\13_10.jpg,pizza hut,[],0.0
99,data\SVT\14_03.jpg,living room theaters,"['room', 'living']",0.6666666666666666
100,data\SVT\01_05.jpg,enterprise 1 800 rent a car,[],0.0
101,data\SVT\02_16.jpg,pickles pub hampton inn wise latina drank here 2 for 5 beer bird flu game day specials no parking during all stadium events,"['&', 'pickiespub=_']",0.0
102,data\SVT\04_01.jpg,garny meat & deli fresh di giulio chiropractic for lease piken medical space 818-755-2700 a/c,"['m', 'chiropractic', 'aic', '&', 'meat&deu', 'deli', 'meat', 'fresh', 'giulio', 'piken']",0.3888888888888889
103,data\SVT\03_02.jpg,beads ow pen 2539,"['beads', 'ow']",0.5
104,data\SVT\14_10.jpg,park kitchen,[],0.0
105,data\SVT\01_13.jpg,the icebox cool stuff brand apparel promotional products 700,"['promotional', 'products', '700', 'the', 'sol', 'pparel', '•', 'stuff']",0.4166666666666667
106,data\SVT\11_09.jpg,central station bar east phone,[],0.0
107,data\SVT\07_14.jpg,brown palace hotel and spa comfort inn,[],0.0
108,data\SVT\18_17.jpg,cinerama www.cinerama.com,[],0.0
109,data\SVT\14_17.jpg,lincoln high school,[],0.0
110,data\SVT\06_04.jpg,save-way beer wine lotto phone cards for sale or lease the sip open cocacola,"['save-way', 'cards']",0.14285714285714285
111,data\SVT\17_10.jpg,liquid agency,[],0.0
112,data\SVT\15_17.jpg,courtyard marriott,['courriard'],0.0
113,data\SVT\05_06.jpg,st jerome school,[],0.0
114,data\SVT\05_08.jpg,chinatown hotel (312)225-8888,"['hotel', 'chinätown']",0.25
115,data\SVT\17_18.jpg,south first billiards,"['billiar', 'first', 'south']",0.5
116,data\SVT\08_14.jpg,at&t,[],0.0
117,data\SVT\03_00.jpg,mountain sun pub & brewery left hand mirror pond 1535,[],0.0
118,data\SVT\02_03.jpg,paul laurence dunbar community high school 1400 orleans street,"['1400', 'community', 'orleans', 'laurence', 'paul', 'street', 'dunbar']",0.7777777777777778
119,data\SVT\12_02.jpg,td bank we don't nickel & dime you pic day ny we're open,[],0.0
120,data\SVT\12_15.jpg,ortliebs jazz,[],0.0
121,data\SVT\02_04.jpg,camden pub catering specials draft beer karaoke restaurant the baltimore award buffalo samuel adams 4455 atm,"['award', '1-4455', 'camden', 'catering', 'favor', 'www.camdeng', 'buffalo', 'pub', 'win']",0.25
122,data\SVT\01_19.jpg,hertz parking 202,[],0.0
123,data\SVT\12_06.jpg,cap giro galato artisans espresso panini,"['9rego', '•', ""pan.'"", 'cet•to']",0.0
124,data\SVT\03_15.jpg,fox reverend horton heat cookin the,['teat'],0.0
125,data\SVT\16_14.jpg,1660 washington square inn,[],0.0
126,data\SVT\03_12.jpg,trident,"['trident', ""e'""]",0.5
127,data\SVT\17_00.jpg,san jose museum of art,"['jose', 'art', 'of', 'san']",0.8
128,data\SVT\04_04.jpg,master nails glenoaks,[],0.0
129,data\SVT\07_16.jpg,wax trax ii 620 new used records,"['trax', '13""', 'il', '620', 'e.', 'wax']",0.3
130,data\SVT\09_10.jpg,leon's,[],0.0
131,data\SVT\02_11.jpg,thairish thai cuisine,['cuisine'],0.3333333333333333
132,data\SVT\04_07.jpg,t mobile glenoaks,"['.mobile', 'aenoas']",0.0
133,data\SVT\18_16.jpg,94 stewart restaurant closed,"['stewart', 'restauran7', '94']",0.4
134,data\SVT\05_03.jpg,whole foods market,[],0.0
135,data\SVT\10_02.jpg,dunkin donuts coffee,"['don', '•']",0.0
136,data\SVT\01_01.jpg,budget,[],0.0
137,data\SVT\07_19.jpg,warwick hotel yellow cab 7228 (303)777-7777,"['(303)', 'yellow', '7228', 'warvv', '777-7777', 'cab', 'leix']",0.3
138,data\SVT\10_18.jpg,frankly wines no standing except trucks loading unloading 8am 7pm except Sunday,"['m•cts', '8am-7pm', 'franklynes', 'standing', 'no']",0.14285714285714285
139,data\SVT\01_04.jpg,shell,[],0.0
140,data\SVT\17_07.jpg,ernst & young san carlos st,[],0.0
141,data\SVT\09_02.jpg,new jersey st days inn road construction ahead 25,[],0.0
142,data\SVT\13_14.jpg,circles discs & tapes,[],0.0
143,data\SVT\11_05.jpg,delivery kyle's bike shop specials,[],0.0
144,data\SVT\06_08.jpg,lula b's antique mall free rear open,"['lula', 'lot,a', ""ope'"", 'mall', 'antique', 'bs']",0.3
145,data\SVT\06_12.jpg,starbucks coffee,[],0.0
146,data\SVT\04_05.jpg,first united methodist church,[],0.0
147,data\SVT\11_15.jpg,colonial photo & hobby inc,"['photo', 'inc.', 'hobby', 'ccccniac']",0.2857142857142857
148,data\SVT\12_04.jpg,embassy suites parking center city do not enter,"['r', 'city', 'not', 'do', '+', 'enter', '—', 'enti', 'center', 'embassy', 'parking', 'suites']",0.6666666666666666
149,data\SVT\18_00.jpg,antica via tribunali pizzeria pizza,"['via', 'antica', 'pizzeria']",0.6
150,data\SVT\08_17.jpg,spaghetti warehouse,"['•', '-', 'ispaghettiäwarehouse']",0.0
151,data\SVT\03_01.jpg,larry's boot fitting 2709 spruce street,"['fitting', '1709', ""larry's"", 'spruce', 'street']",0.5714285714285714
152,data\SVT\08_04.jpg,hess one allen center,[],0.0
153,data\SVT\00_05.jpg,anaheim public library muzeo 241,[],0.0
154,data\SVT\09_04.jpg,steak n shake,"['aa', '•clan', 'n']",0.2
155,data\SVT\09_16.jpg,industrial anodizing 1610,"['anodizing', 'industrial', '1610']",1.0
156,data\SVT\04_14.jpg,920 m&m accountancy closed,"['m', '21.6626', '&', 'accountancy', 'mers', '920']",0.25
157,data\SVT\07_08.jpg,avenue theater free gas,[],0.0
158,data\SVT\15_14.jpg,comfort inn gaslamp 660 g street 1-800-598-1810,"['comfort', '660', 'inn', 'gas\\amp', 'street', 'g']",0.625
159,data\SVT\01_18.jpg,quality hotel fdc,"['fdc', 'hotel', 'quality']",1.0
160,data\SVT\00_07.jpg,anaheim band instruments,"['instruments', 'band']",0.6666666666666666
161,data\SVT\02_14.jpg,chiapparellis,['chlapparellts'],0.0
162,data\SVT\07_17.jpg,great wall chinese food tel fax,"['chinese', 'fooy', 'wall']",0.2857142857142857
163,data\SVT\03_08.jpg,timberline,[],0.0
164,data\SVT\01_10.jpg,payless shoesource,['päjless'],0.0
165,data\SVT\05_10.jpg,grandstand chicago police,['grandstand'],0.3333333333333333
166,data\SVT\13_02.jpg,starbucks coffee,[],0.0
167,data\SVT\11_02.jpg,sushi hatsu,['sushi'],0.5
168,data\SVT\15_08.jpg,the casbah,[],0.0
169,data\SVT\18_05.jpg,quinn's lunch & dinner 1410,[],0.0
170,data\SVT\07_05.jpg,bender's 13th domino's pizza no parking any time,"['s.', 'b', 'too:']",0.0
171,data\SVT\13_03.jpg,quiznos subs café roma pizza pasta salads & subs,"[""cafe'"", 'quizttüs', 'roma', 'sug']",0.09090909090909091
172,data\SVT\06_02.jpg,the blue collar bar 1924,['bluecollar'],0.0
173,data\SVT\11_00.jpg,grand bohemian hotel entrance,"['hotel', 'entrance', 'bohemian']",0.75
174,data\SVT\13_08.jpg,enterprise rent a car,[],0.0
,,,,
